ID_Produto,Descricao_Produto,Preco_Unitario_Venda,Estoque_Minimo
PROD175,Plastico Bolha 1.2x50m,110.00,10
PROD176,Envelope Bolha A4 10un,35.00,50
PROD177,Estante de Aco 6 Prateiras,280.00,5
PROD178,Armario de Aco 2 Portas,850.00,3
PROD179,Mesa de Reuniao 2.0m,1800.00,2
PROD180,Gaveteiro 3 Gavetas,450.00,6
PROD181,Servidor Tower i3 16GB,6500.00,3
PROD182,Fonte Redundante 750W,1850.00,5
PROD183,Placa de Rede Quad Port,1200.00,4
PROD184,Cabo Serial Console,45.00,20
PROD185,PDU Básica 12 Tomadas,380.00,10
PROD186,KVM Console Gaveta 17,6800.00,2
PROD187,Trilho para Servidor Univ,250.00,8
PROD188,Chassis para Media Conv,1550.00,3
PROD189,Switch Core Layer 3,22000.00,1
PROD190,Firewall Hardware Mid,8500.00,2
PROD191,Antena Wi-Fi High Gain,145.00,15
PROD192,Protetor Surto Coaxial,85.00,20
PROD193,Mini Rack 6U Parede,450.00,6
PROD194,Patch Cord Cat6a 2m,35.00,50
PROD195,Terminador Optico,120.00,20
PROD196,Kit Chaves Precisao,95.00,15
PROD197,Soprador Térmico 1800W,280.00,5
PROD198,Ferro de Solda 40W,55.00,12
PROD199,Sugador de Solda,25.00,20
PROD200,Estacao de Solda Prof,1200.00,3
