ID_Pedido,Data,Setor,Item,Valor_Unitario,Quantidade,Entidade,Status_Financeiro,Status_Logistico
65,8/21/2025,Compras,Body Wash,75,51,Wikibox,Atrasado,Aguardando
66,3/4/2026,Faturamento,Floral Wrap Top,83,20,Vinte,Atrasado,Aguardando
67,9/8/2025,Faturamento,Fashionable Belt Bag,90,43,Kwilith,Atrasado,Aguardando
68,11/25/2025,Faturamento,Electric Screwdriver,46,81,Aivee,Pago,Aguardando
69,3/7/2026,Compras,Organic Green Lentils,10,51,Abatz,Atrasado,Em Rota
70,11/22/2025,Faturamento,Luxury Rolling Makeup Case,98,58,Edgeclub,Pendente,Em Rota
71,1/17/2026,Compras,Red Lentil Pasta,87,25,Ntags,Pago,Entregue
72,3/16/2026,Faturamento,Dish Rack,61,69,Zoombeat,Pendente,Em Rota
73,12/24/2025,Faturamento,Cacao Powder,84,52,Kaymbo,Atrasado,Entregue
74,6/5/2025,Faturamento,Smartphone Holder for Car,91,30,Fivebridge,Pago,Entregue
75,11/4/2025,Faturamento,Portable Dog Water Bottle,69,20,Eare,Pendente,Aguardando
76,6/9/2025,Compras,Italian Herb Balsamic Marinade,7,62,Jabberbean,Pago,Em Rota
77,2/15/2026,Faturamento,Thai Coconut Curry Sauce,2,73,Devify,Pendente,Aguardando
78,1/30/2026,Compras,Thermostatic Shower Valve Kit,76,82,LiveZ,Pago,Em Rota
79,8/26/2025,Faturamento,Pumpkin Ice Cream,59,31,Buzzshare,Pendente,Aguardando
80,7/29/2025,Faturamento,Utility Cargo Pants,4,57,Wikibox,Atrasado,Aguardando
81,10/30/2025,Faturamento,Digital Camera,40,25,Dabjam,Pago,Em Rota
82,10/16/2025,Compras,Sweet Corn Fritters,51,61,Fiveclub,Pendente,Entregue
83,9/11/2025,Faturamento,Coconut Almond Granola,97,63,Trunyx,Atrasado,Entregue
84,10/14/2025,Compras,Samoas Cookie Mix,86,70,Buzzdog,Pendente,Aguardando
85,6/12/2025,Compras,Nutty Quinoa Salad,86,22,Avamm,Pago,Entregue
86,8/3/2025,Compras,Wrist Support Brace,47,2,Tagchat,Pendente,Aguardando
87,1/11/2026,Faturamento,Foldable Yoga Mat,21,84,Brainbox,Pago,Em Rota
88,1/29/2026,Compras,Peanut Butter Filled Pretzels,57,83,Mynte,Atrasado,Aguardando
89,8/14/2025,Compras,Egg Noodles,87,48,Wikivu,Pago,Aguardando
90,12/28/2025,Faturamento,Premium Flashlight,28,68,Bubblebox,Pendente,Em Rota
91,3/9/2026,Faturamento,Waterproof Rain Boots,5,73,Bubbletube,Pendente,Aguardando
92,2/4/2026,Faturamento,Sriracha Honey Glaze,51,99,Demimbu,Atrasado,Aguardando
93,9/14/2025,Compras,Coconut Cream,84,40,Aimbu,Pago,Aguardando
94,1/1/2026,Faturamento,Fresh Cilantro,36,51,Eabox,Pago,Entregue
95,11/20/2025,Compras,Electric Screwdriver,63,87,Feedmix,Atrasado,Em Rota
96,11/13/2025,Compras,Garlic Naan Bread,76,1,Riffpedia,Atrasado,Aguardando
97,12/26/2025,Faturamento,Smoked Gouda Cheese,53,31,Wikivu,Atrasado,Aguardando
98,1/9/2026,Compras,Pepperoni Pizza Roll-Ups,11,83,Zoonoodle,Pago,Em Rota
99,12/8/2025,Faturamento,Lemon Basil Pasta Sauce,53,70,Jaloo,Pendente,Em Rota
100,11/1/2025,Faturamento,Fruit Medley Juice,58,96,Oyoyo,Pendente,Aguardando
101,3/5/2026,Faturamento,Salsa Verde,80,23,Bluejam,Pago,Entregue
102,2/24/2026,Compras,Cream Cheese,36,20,Yodel,Pago,Entregue
103,2/21/2026,Compras,Fitness Jump Box,30,23,Bluezoom,Pendente,Aguardando
104,1/10/2026,Compras,Fitness Tracker Band,57,41,Rhycero,Atrasado,Entregue
105,6/18/2025,Compras,Couscous Mix,32,19,Skiba,Pago,Em Rota
106,9/3/2025,Compras,Laundry Detergent,62,85,Bubblebox,Pago,Entregue
107,8/20/2025,Compras,Baking Soda,30,44,Youspan,Pendente,Em Rota
108,9/11/2025,Faturamento,Digital Food Thermometer,2,31,Voonix,Atrasado,Entregue
109,12/13/2025,Compras,Bluetooth Sleep Headphones,71,80,Twitterworks,Atrasado,Em Rota
110,2/13/2026,Faturamento,Essential Oil Diffuser,55,71,Ailane,Pendente,Em Rota
111,3/6/2026,Faturamento,Gardening Tool Belt,62,88,Lazzy,Atrasado,Aguardando
112,3/17/2026,Faturamento,Silicone Wine Glasses,23,12,Jaloo,Atrasado,Entregue
113,1/19/2026,Faturamento,Italian Herbal Seasoning,85,73,Edgeify,Atrasado,Em Rota
114,3/1/2026,Compras,Portable Blender,25,12,Gigabox,Pago,Entregue
115,3/30/2026,Compras,Greek Yogurt,43,78,Omba,Pendente,Entregue
116,10/14/2025,Compras,Vanilla Protein Powder,41,66,Twitterbridge,Pago,Aguardando
117,10/27/2025,Compras,Strawberry Fruit Spread,36,6,Brainverse,Pendente,Em Rota
118,1/5/2026,Faturamento,Electric Toothbrush,2,65,Kwinu,Pago,Aguardando
119,10/29/2025,Faturamento,Hot Salsa,85,43,Livefish,Pago,Aguardando
120,3/10/2026,Compras,Frozen Broccoli,83,68,Topiczoom,Atrasado,Entregue
121,6/21/2025,Faturamento,Pretzel Bites,99,96,Yozio,Pendente,Em Rota
122,7/1/2025,Compras,Cranberry Orange Oatmeal,69,79,Flipopia,Pendente,Em Rota
123,8/3/2025,Compras,Travel Organizer,31,15,Thoughtsphere,Pago,Aguardando
124,8/25/2025,Compras,Fleece Throw Blanket,23,58,Feedspan,Pago,Aguardando
125,9/21/2025,Faturamento,Cheese Stuffed Jalapenos,2,19,Jaloo,Atrasado,Entregue
126,11/14/2025,Faturamento,Berry Smoothie Mix,39,31,Aimbu,Pago,Aguardando
127,3/27/2026,Compras,Phone Case,88,98,Minyx,Pendente,Aguardando
128,8/17/2025,Compras,Casual Sneakers,60,22,Abatz,Pago,Aguardando
129,9/16/2025,Faturamento,Insulated Lunch Box,85,27,Thoughtworks,Pendente,Entregue
130,1/5/2026,Compras,Pet Grooming Gloves,84,18,Jaloo,Pago,Aguardando
131,3/19/2026,Compras,Emergency Preparedness Kit,50,54,Tazzy,Atrasado,Em Rota
132,5/20/2025,Faturamento,Mesh Laundry Bags Set,82,15,Meedoo,Pago,Em Rota
133,3/14/2026,Compras,Mediterranean Couscous,52,94,Roomm,Atrasado,Entregue
134,12/9/2025,Compras,Wireless Smart Plug,46,13,Skiba,Atrasado,Em Rota
135,9/7/2025,Faturamento,Instant Mashed Potatoes,71,80,Twitterworks,Pago,Em Rota
136,5/29/2025,Faturamento,Sweet Potato Mash,58,1,Kaymbo,Pago,Em Rota
137,6/6/2025,Faturamento,Electric Toothbrush Holder,37,59,Fanoodle,Pendente,Em Rota
138,6/3/2025,Compras,Mixed Berry Smoothie Pack,100,54,Camido,Pendente,Em Rota
139,1/1/2026,Faturamento,Silicone Baking Mat,27,58,Skiba,Pago,Entregue
140,8/15/2025,Compras,Buffalo Style Cauliflower Bites,84,24,Twitterworks,Pendente,Em Rota
141,5/10/2025,Compras,Honey Garlic Shrimp,64,54,Blogpad,Atrasado,Em Rota
142,5/5/2025,Compras,Portable Hammock,38,23,Photolist,Pago,Entregue
143,8/12/2025,Faturamento,Leather Notebook Cover,58,56,Agimba,Pendente,Aguardando
144,11/21/2025,Faturamento,Portable Refrigerator Freezer,93,50,Jayo,Pago,Em Rota
145,11/6/2025,Faturamento,Beef Tacos,53,50,Tagpad,Pago,Em Rota
146,9/30/2025,Faturamento,Electric Wine Opener,6,52,Gabspot,Pendente,Em Rota
147,10/31/2025,Compras,Protein Powder,91,33,Mynte,Pendente,Entregue
148,12/30/2025,Compras,Smartphone Camera Lens Kit,27,38,Realmix,Atrasado,Aguardando
149,12/24/2025,Compras,Pasta Salad Kit,38,82,Chatterpoint,Pendente,Aguardando
150,2/24/2026,Compras,Kombucha Drink,1,65,Twitterbridge,Pendente,Em Rota
151,7/12/2025,Faturamento,Frozen Hash Browns,32,88,Photospace,Pago,Entregue
152,4/2/2026,Compras,Quinoa & Black Bean Salad,79,94,Meevee,Atrasado,Entregue
153,3/20/2026,Faturamento,Hummus,66,58,Avamba,Pago,Em Rota
154,10/7/2025,Compras,Kids' STEM Robotics Kit,11,17,Voonder,Pago,Aguardando
155,11/15/2025,Faturamento,Sports Windbreaker,100,29,Tavu,Atrasado,Entregue
156,8/12/2025,Faturamento,Blackberry Jam,75,52,Dabjam,Atrasado,Em Rota
157,4/7/2026,Faturamento,Dog Waste Bag Dispenser,5,1,Blogtags,Atrasado,Em Rota
158,7/24/2025,Compras,Rustic Wooden Picture Frame,73,72,Gigaclub,Atrasado,Aguardando
159,4/22/2026,Faturamento,Wooden Blocks,44,35,Gigaclub,Pago,Em Rota
160,2/28/2026,Compras,Kids' Building Blocks,58,99,Camimbo,Pago,Em Rota
161,5/10/2025,Faturamento,Gingerbread House Kit,45,78,Midel,Atrasado,Entregue
162,4/10/2026,Compras,Potting Soil,37,29,Muxo,Atrasado,Entregue
163,12/5/2025,Compras,Low-Fat Yogurt,10,91,Photojam,Pago,Em Rota
164,11/12/2025,Compras,Throw Pillow Covers,4,27,Zooxo,Pago,Aguardando
165,3/31/2026,Faturamento,Vanilla Pudding Mix,45,73,Twitterlist,Atrasado,Em Rota
166,7/5/2025,Faturamento,Balsamic Salad Dressing,52,17,Kimia,Pago,Aguardando
167,8/30/2025,Compras,Spinach and Ricotta Ravioli,90,35,Realblab,Atrasado,Aguardando
168,8/14/2025,Compras,Portable Blender,43,49,Dablist,Atrasado,Aguardando
169,4/4/2026,Faturamento,Chocolate Hazelnut Spread,85,27,Zoonoodle,Pago,Entregue
170,10/10/2025,Compras,Sweet and Sour Sauce,3,79,Brightbean,Pendente,Em Rota
171,4/20/2026,Compras,Mechanical Keyboard,68,25,Browsedrive,Pendente,Em Rota
172,1/21/2026,Faturamento,Wrap Front Midi Skirt,43,34,Brainsphere,Atrasado,Aguardando
173,8/1/2025,Compras,Pet First Aid Kit,75,49,Vinte,Atrasado,Em Rota
174,4/19/2026,Faturamento,Essential Oil Diffuser,65,93,Babbleset,Pendente,Em Rota
175,3/9/2026,Faturamento,Smart Wi-Fi Camera,86,26,Skidoo,Pago,Entregue
176,6/6/2025,Compras,Fresh Basil Pesto,4,76,Avamba,Pago,Entregue
177,4/20/2026,Faturamento,Vanilla Almond Granola,46,85,Gabcube,Atrasado,Aguardando
178,1/1/2026,Faturamento,Wireless Printer,67,100,Centidel,Pendente,Aguardando
179,8/11/2025,Compras,Portable Blender,59,94,Edgepulse,Pendente,Entregue
180,9/2/2025,Faturamento,Outdoor Picnic Blanket,35,59,Jabbercube,Atrasado,Aguardando
181,8/24/2025,Compras,Kids' STEM Robotics Kit,72,14,Zoomdog,Pago,Aguardando
182,8/29/2025,Compras,Multicolored LED Strip Lights,91,19,Yombu,Pendente,Em Rota
183,10/24/2025,Faturamento,Spicy Tuna Rolls,53,8,Yakitri,Pendente,Aguardando
184,10/13/2025,Faturamento,Turkey Bacon,20,58,Kare,Pago,Em Rota
185,10/19/2025,Compras,Blueberry Muffin Mix,68,17,Meevee,Pago,Aguardando
186,1/17/2026,Faturamento,Spicy BBQ Sauce,2,5,Mydo,Pendente,Em Rota
187,10/11/2025,Faturamento,Nature Explorer Lens Kit,14,11,Photolist,Pago,Aguardando
188,5/25/2025,Faturamento,Luxury Memory Foam Mattress Topper,63,45,Mycat,Pago,Entregue
189,3/25/2026,Compras,Dark Chocolate Covered Almonds,93,17,Mynte,Pago,Aguardando
190,12/29/2025,Faturamento,Italian Meatballs,69,46,Roodel,Pago,Entregue
191,9/27/2025,Compras,Bodyweight Resistance Bands,30,62,Aivee,Pendente,Em Rota
192,11/15/2025,Compras,Action Camera,66,34,Voolith,Atrasado,Entregue
193,1/14/2026,Compras,Brown Sugar,13,11,Mycat,Atrasado,Em Rota
194,11/17/2025,Compras,Paprika,83,99,Plambee,Atrasado,Em Rota
195,8/14/2025,Faturamento,Organic Quinoa Salad,14,28,Tagpad,Pago,Aguardando
196,1/6/2026,Compras,Water Bottle,46,46,Quimba,Pendente,Em Rota
197,4/27/2026,Compras,Vegetarian Stir Fry Sauce,41,64,Skyndu,Atrasado,Aguardando
198,9/18/2025,Compras,Organic Granola,11,77,Kazu,Pago,Entregue
199,8/10/2025,Compras,Crispy Tofu Bites,23,46,Digitube,Pago,Entregue
200,2/21/2026,Compras,Electric Razor,43,25,Rhyzio,Pago,Entregue
201,7/8/2025,Compras,Wireless Wi-Fi Extender,83,52,Yodel,Pendente,Entregue
202,9/28/2025,Compras,Maple Pecan Granola,62,67,Vidoo,Pago,Em Rota
203,8/18/2025,Compras,Window Bird Feeder,85,24,Thoughtbeat,Pendente,Entregue
204,9/19/2025,Compras,Adjustable Kneeling Pad,80,67,Fanoodle,Pago,Em Rota
205,6/10/2025,Compras,Vanilla Pudding Mix,53,26,Browsecat,Pago,Entregue
206,6/23/2025,Faturamento,Sweet Chili Sauce,80,100,Pixoboo,Pendente,Aguardando
207,9/27/2025,Compras,Sturdy Bookends,57,38,Skyba,Pago,Aguardando
208,12/22/2025,Compras,Dog Walking Waist Pack,91,36,Meeveo,Pendente,Em Rota
209,6/30/2025,Compras,Pumpkin Spice Creamer,15,38,Photobug,Atrasado,Em Rota
210,2/2/2026,Compras,Coconut Bowls Set,82,100,Jetwire,Atrasado,Em Rota
211,11/3/2025,Faturamento,Black Bean Spaghetti,57,18,Eamia,Pendente,Aguardando
212,6/11/2025,Compras,Basil Pesto Pasta,46,33,Innojam,Pago,Em Rota
213,2/24/2026,Compras,Chili Lime Seasoning,75,73,Quinu,Pago,Em Rota
214,9/16/2025,Faturamento,Inflatable Paddle Board,12,20,Vipe,Pendente,Aguardando
215,12/30/2025,Faturamento,Reusable Silicone Food Storage Bags,5,89,Meetz,Pendente,Em Rota
216,3/7/2026,Compras,Vegetable Medley,20,46,Topdrive,Pago,Aguardando
217,1/29/2026,Compras,Eggs (dozen),92,76,Riffwire,Atrasado,Em Rota
218,11/20/2025,Faturamento,Plaid Flannel Shirt,11,45,Devify,Pendente,Em Rota
219,10/18/2025,Compras,Smart Wi-Fi Camera,4,100,Wikibox,Pendente,Aguardando
220,3/21/2026,Compras,Pet Waterer with Filtration,34,45,Thoughtstorm,Atrasado,Entregue
221,9/7/2025,Faturamento,Strawberry Fruit Spread,75,3,Jayo,Pendente,Aguardando
222,1/19/2026,Faturamento,Tuna Fish (canned),70,72,Zoomcast,Pago,Aguardando
223,7/11/2025,Compras,Chickpea Pancakes,30,23,Jaxspan,Pendente,Entregue
224,5/23/2025,Faturamento,Fashionable Belt Bag,28,97,Bluezoom,Atrasado,Entregue
225,8/24/2025,Compras,Pet Water Fountain,44,13,Blogtags,Pendente,Entregue
226,1/1/2026,Faturamento,Balsamic Glazed Brussels Sprouts,10,91,Riffpedia,Pago,Aguardando
227,4/7/2026,Faturamento,Avocado Oil,91,21,Meemm,Atrasado,Aguardando
228,6/2/2025,Compras,Beach Cover-Up,53,60,Jamia,Pendente,Entregue
229,11/26/2025,Compras,Scent Diffuser Oil,2,35,Skimia,Pago,Aguardando
230,9/4/2025,Compras,Vegetable Samosas,49,52,Edgepulse,Atrasado,Aguardando
231,12/8/2025,Faturamento,Chocolate Covered Pretzels,84,43,Jabberstorm,Pendente,Em Rota
232,5/7/2025,Faturamento,Reclining Camping Chair,94,46,Oba,Pago,Entregue
233,1/12/2026,Compras,Caramelized Onion Dip Mix,45,62,Skinder,Pendente,Entregue
234,3/14/2026,Compras,Adjustable Resistance Bands,62,2,Jazzy,Pendente,Entregue
235,8/24/2025,Faturamento,Flavored Rice Cakes,12,84,Skalith,Atrasado,Em Rota
236,8/23/2025,Faturamento,Pepperoni Pizza Roll-Ups,34,10,Skinix,Pendente,Entregue
237,11/7/2025,Faturamento,Teriyaki Chicken Wings,44,79,Agimba,Atrasado,Em Rota
238,5/15/2025,Compras,Shower Curtain Hooks,14,58,Oozz,Atrasado,Aguardando
239,11/8/2025,Compras,Craft Beer Mustard,52,33,Rhyzio,Pago,Aguardando
240,11/22/2025,Compras,Pumpkin Seeds,1,11,Mybuzz,Atrasado,Entregue
241,8/1/2025,Compras,Kale Salad Kit,14,88,Janyx,Pendente,Entregue
242,7/12/2025,Compras,Fitness Resistance Bands Kit,61,20,Skivee,Atrasado,Entregue
243,10/25/2025,Compras,Lemon Herb Grilled Chicken,91,51,Pixope,Pendente,Aguardando
244,11/17/2025,Compras,Cocktail Shaker and Mixing Glass Set,36,13,Oloo,Atrasado,Em Rota
245,2/14/2026,Compras,Tomato Basil Pasta Sauce,26,89,Ozu,Atrasado,Aguardando
246,10/25/2025,Faturamento,Spicy Vegetable Sushi Rolls,3,45,Jabberbean,Pendente,Entregue
247,4/29/2026,Compras,Vegetable Curry,19,42,Ailane,Pendente,Em Rota
248,4/4/2026,Faturamento,Portable Solar Camp Shower,53,51,Avavee,Pago,Entregue
249,12/11/2025,Faturamento,Bock Beer Mustard,69,29,Devpoint,Pendente,Entregue
250,8/15/2025,Faturamento,Children's Science Experiment Lab Kit,41,30,Twitterlist,Atrasado,Entregue
251,12/25/2025,Faturamento,Kids Tablet,46,56,Wikizz,Pendente,Em Rota
252,5/30/2025,Compras,Savory Oats,63,94,Voonte,Pendente,Em Rota
253,2/5/2026,Compras,Car Phone Mount,4,87,Gigazoom,Pendente,Em Rota
254,3/1/2026,Compras,Outdoor Picnic Blanket,62,93,Yotz,Pago,Entregue
255,6/1/2025,Compras,Savory Oatmeal Cups,95,60,Quire,Atrasado,Entregue
256,2/24/2026,Compras,Car Trash Can,1,70,Rhyloo,Pendente,Aguardando
257,3/14/2026,Compras,Ice Cream,94,3,Centimia,Pago,Em Rota
258,12/1/2025,Compras,Multi-Port USB Hub,57,98,Photobug,Pago,Aguardando
259,5/19/2025,Faturamento,Buffalo Cauliflower Bites,45,55,Skidoo,Pago,Entregue
260,12/12/2025,Faturamento,Computer Monitor Stand,9,47,Cogilith,Pago,Em Rota
261,5/13/2025,Compras,Artisan Bread,91,86,Skajo,Pendente,Em Rota
262,11/25/2025,Faturamento,Nordic Berry Smoothie,75,74,Thoughtsphere,Atrasado,Aguardando
263,2/18/2026,Faturamento,Asian Noodle Salad Kit,20,91,Shuffledrive,Pendente,Aguardando
264,12/21/2025,Faturamento,Collapsible Folding Chair,57,55,Avaveo,Pendente,Aguardando
265,6/27/2025,Faturamento,Nutty Granola Clusters,21,17,Eire,Atrasado,Em Rota
266,3/3/2026,Compras,Pumpkin Pie Spice,80,10,Npath,Pago,Em Rota
267,10/2/2025,Faturamento,Biodegradable Phone Case,58,25,BlogXS,Pago,Em Rota
268,11/26/2025,Faturamento,Solar String Lights,82,3,Lajo,Pendente,Aguardando
269,12/6/2025,Faturamento,Teriyaki Beef Jerky,38,91,Kamba,Pago,Aguardando
270,7/26/2025,Compras,Smoked Paprika Chicken Thighs,39,90,Vitz,Atrasado,Aguardando
271,2/3/2026,Faturamento,Mixed Nuts,32,22,Quamba,Atrasado,Entregue
272,2/2/2026,Faturamento,Honey Sesame Chicken Mix,95,63,Chatterpoint,Atrasado,Aguardando
273,8/20/2025,Compras,Basil Pesto Pasta,84,56,Realbridge,Pendente,Entregue
274,8/18/2025,Faturamento,Interactive Plush Toy,92,13,Mydo,Pendente,Em Rota
275,11/17/2025,Faturamento,Miso Dressing,9,25,Pixope,Atrasado,Em Rota
276,8/8/2025,Faturamento,Chocolate Chip Muffins,1,62,Oyoba,Pago,Entregue
277,9/12/2025,Faturamento,Salsa,17,20,Gabcube,Pago,Aguardando
278,1/9/2026,Faturamento,Sweet Potato and Chickpea Bowl,14,82,Edgeblab,Pendente,Em Rota
279,11/21/2025,Compras,Digital Stopwatch Timer,24,70,Izio,Pago,Entregue
280,11/27/2025,Compras,Portable Air Purifier,77,31,Avaveo,Atrasado,Em Rota
281,1/8/2026,Compras,Fitness Smartwatch,24,87,Bubblemix,Atrasado,Aguardando
282,9/9/2025,Faturamento,Teriyaki Chicken Stir-Fry,69,67,Roombo,Pendente,Entregue
283,5/25/2025,Compras,Lemon Pepper Seasoning,9,32,Topdrive,Pago,Aguardando
284,9/6/2025,Compras,Scent Diffuser,3,36,Meetz,Pendente,Em Rota
285,11/22/2025,Faturamento,Herb Seasoned Couscous,38,27,Quamba,Atrasado,Entregue
286,5/11/2025,Faturamento,Wooden Kitchen Utensil Set,60,91,Gabcube,Pago,Entregue
287,11/18/2025,Faturamento,Outdoor Fire Pit,32,14,Meevee,Pago,Aguardando
288,10/8/2025,Compras,Lemon Pepper Seasoning,26,30,Viva,Pago,Em Rota
289,5/11/2025,Faturamento,Stylish Combat Boots,70,7,Trunyx,Pendente,Aguardando
290,11/29/2025,Compras,Coconut Water,64,27,Kazu,Atrasado,Entregue
291,2/1/2026,Faturamento,Portable Pet Stroller,80,2,Wikivu,Pendente,Entregue
292,7/30/2025,Faturamento,Chipotle Seasoning Blend,1,51,Skimia,Atrasado,Aguardando
293,10/27/2025,Compras,Chocolate Coconut Protein Balls,73,23,Photobug,Atrasado,Aguardando
294,11/6/2025,Faturamento,Portable Air Purifier,47,32,Jayo,Atrasado,Entregue
295,8/6/2025,Compras,Pet Grooming Glove,78,60,Yotz,Pendente,Aguardando
296,2/25/2026,Compras,Buttermilk Pancakes,72,44,Eabox,Atrasado,Em Rota
297,12/1/2025,Compras,Kombucha Drink,68,22,Trilia,Pago,Aguardando
298,10/4/2025,Compras,Vegan Tacos,74,41,Yamia,Pago,Em Rota
299,4/12/2026,Faturamento,Dried Mango Slices,28,11,Gigaclub,Pendente,Aguardando
300,1/1/2026,Compras,Coconut Curry Lentil Soup,11,56,Dynava,Atrasado,Em Rota
301,6/15/2025,Faturamento,Beef Stew Meat,72,84,Dynabox,Pendente,Entregue
